museum_name,museum_japanese,architect,architect_japanese,completion_year,architectural_style,region,prefecture,city,nearest_station,nearest_major_city,description,architectural_highlights,significance,accessibility_notes,primary_museum_experience_blurb,nearby_cultural_attraction_name,distance_from_main_attraction_deprecated,distance_from_main_attraction,nearby_cultural_attraction_blurb,museum_image_url,image_attribution,attraction_1_image_url,attraction_1_attribution,attraction_2_image_url,attraction_2_attribution
九州国立博物馆,九州国立博物館,菊竹清训,菊竹清訓,2005,以曲面屋顶与透明幕墙构成的未来感博物馆建筑,九州,福冈县,太宰府市,太宰府站,福冈市,九州国立博物馆以“亚洲史与日本文化交流”为主题，建筑采用巨型波浪式屋顶与蓝色玻璃幕墙，是日本最具未来感的文化建筑之一。,建筑亮点包括流线型屋顶结构、透明玻璃立面与架空步道连接系统，使博物馆仿佛漂浮于森林之间。,作为继东京、奈良、京都之后的第四座国立博物馆，其展示角度独特，强调日本与亚洲大陆的互动历史。,从太宰府站经连通步道步行即可到达。,展览涵盖考古、历史文化、亚洲交流史与大型主题展。,太宰府天满宫,步行5分钟,步行约5分钟,日本著名学问神社，观光人潮不断。,https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/teshima-art-museum.jpg,"By tosimori, CC BY 2.0",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Teshima_Art_Museum_Interior.jpg,"By Kentaro Ohno, CC BY 2.0",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Ieura_port_teshima.jpg,"By 663highland - Own work, CC BY-SA 3.0"
长崎县美术馆,長崎県美術館,隈研吾,隈研吾,2005,以水岸景观与桥式连廊组织的当代建筑,九州,长崎县,长崎市,长崎站,长崎市,长崎县美术馆位于海港旁，以水景广场与植栈桥式连廊构成开放空间，是隈研吾“自然渗透式建筑”理念的重要例子。,建筑亮点包括绿色屋顶、玻璃桥连廊与水面反射效果，使建筑与港口风景融为一体。,美术馆以收录加泰罗尼亚艺术与长崎地方藏品而著名，策展内容多样。,从长崎站步行或乘电车可达。,展览涵盖加泰罗尼亚艺术、地方艺术史与当代作品。,长崎水边森林公园,步行1分钟,步行约1分钟,紧邻海边的公共公园，景观开阔宜人。,https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/inujima-seirensho.jpg,"By Mc681, CC BY-SA 4.0",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Inujima_Seirensho_Art_Museum_chimney.jpg,"By 663highland - Own work, CC BY-SA 3.0",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Inujima_Art_House_Project.jpg,"By Kakidai - Own work, CC BY-SA 4.0"
直岛白钻石馆,直島パヴィリオン,藤本壮介,藤本壮介,2016,以金属网格构成的轻量化几何结构装置建筑,四国,香川县,直岛町,宫浦港,高松市,位于海边的直岛白钻石馆为艺术家藤本壮介设计，以白色金属网格构成轻盈几何体块，仿佛漂浮于海风中的雕塑装置。,建筑亮点包括金属网格反射光影、可进入式内部空间与与海景互动的观景体验。,作为直岛艺术项目的一部分，是游客环岛观展路线的重要停点。,从宫浦港步行即达。,作品作为开放式公共艺术装置向游客展示直岛的海岸景观。,直岛海滨公园,步行2分钟,步行约2分钟,以海岸步道与开放景观为特色的公共空间。,https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Kyoto-National-Museum-Heisei-Chishinkan.jpg,"By 663highland - Own work, CC BY-SA 3.0",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Kyoto_National_Museum_Heisei_Chishinkan_interior.jpg,"By 663highland - Own work, CC BY-SA 3.0",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Sanjusangendo_1001_statues.jpg,"By 663highland - Own work, CC BY-SA 3.0"
地中美术馆,地中美術館,安藤忠雄,安藤忠雄,2004,以地下空间与自然光构成的极简混凝土建筑,四国,香川县,直岛町,筑云港,高松市,地中美术馆由安藤忠雄设计，将展览空间埋入地下，以自然日光作为唯一照明元素，是极简主义建筑的国际标志。,建筑亮点包括天井采光、混凝土墙面、几何构成空间与光影不断变化的展示方式。,作为展示莫奈、詹姆斯·特瑞尔与沃尔特·德·玛丽三位艺术家作品的永久馆，具有世界级影响力。,从筑云港乘接驳巴士可达。,展览以艺术与自然交融为主线，提供沉静深刻的观展体验。,南瓜雕塑（草间弥生）,乘巴士约10分钟,乘巴士约10分钟,草间弥生代表性户外雕塑作品，是直岛标志景点。,https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/miho-museum.jpg,"By STA3816 - Own work, CC BY-SA 3.0",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Miho_Museum_interior.jpg,"By 663highland - Own work, CC BY-SA 3.0",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Shigaraki_pottery_village.jpg,"By Fg2 - Own work, Public Domain"
贝尼斯之家美术馆,ベネッセハウスミュージアム,安藤忠雄,安藤忠雄,1992,以混凝土体块与海岸景观融合的极简建筑,四国,香川县,直岛町,筑云港,高松市,贝尼斯之家美术馆由安藤忠雄设计，将美术馆与酒店功能结合，坐落于海岸山坡上，以混凝土量体框景海景。,建筑亮点包括开放式露台、框景窗口与与海岸线呼应的动线。,作为直岛艺术项目的核心设施之一，吸引全球艺术旅行者。,从筑云港乘巴士可达。,展览以当代艺术为主，与自然地形相呼应布置。,直岛海岸步道,步行5分钟,步行约5分钟,沿海岸铺设的徒步路线，可观赏海景与户外艺术作品。,https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Museum-of-Contemporary-Art-Tokyo.jpg,"By Wiiii - Own work, CC BY-SA 4.0",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Museum_of_Contemporary_Art_Tokyo_interior.jpg,"By Wiiii - Own work, CC BY-SA 4.0",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Kiyosumi_Garden_Tokyo.jpg,"By Wiiii - Own work, CC BY-SA 3.0"
安藤美术馆,ANDO MUSEUM,安藤忠雄,安藤忠雄,2013,以传统町屋外观包覆极简混凝土内部的建筑,四国,香川县,直岛町,本村港,高松市,安藤美术馆以传统木造町屋外观与混凝土内部空间形成强烈对比，展现“内外反转”的独特建筑体验。,建筑亮点包括深暗的混凝土墙面、天井采光与传统建筑外形的“保留式更新”。,作为展示安藤忠雄建筑理念的小型馆，深受建筑爱好者喜爱。,从本村港步行可至。,展览以安藤建筑理念、模型与照片为主。,直岛本村地区,步行1分钟,步行约1分钟,传统渔村街区，保存朴素生活景观。,https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/National-Art-Center-Tokyo.jpg,"By Wiiii - Own work, CC BY-SA 3.0",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/National_Art_Center_Tokyo_interior.jpg,"By Wiiii - Own work, CC BY-SA 3.0",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Roppongi_Art_Triangle.jpg,"Generic placeholder image for Roppongi Art Triangle, Public Domain"
李禹焕美术馆,李禹焕美術館,安藤忠雄,安藤忠雄,2010,以极简构成与光影关系为核心的当代建筑,四国,香川县,直岛町,筑云港,高松市,李禹焕美术馆是韩国艺术家李禹焕与安藤忠雄合作的美术馆，以极简构成与自然光为主线展开空间体验。,建筑亮点包括混凝土墙体、内凹式展厅与静谧户外庭园。,作为国际极简主义的重要代表，展览引导观众感受物质与空间的关系。,从筑云港乘接驳巴士可达。,馆内展示李禹焕的雕塑、绘画与装置作品。,地中美术馆区域,步行10分钟,步行约10分钟,位于直岛艺术区的中心地带，周边有多项户外作品。,https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Hyogo_Prefectural_Museum_of_Art.jpg,"By 663highland - Own work, CC BY-SA 3.0",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Hyogo_Prefectural_Museum_of_Art_sun.jpg,"By Chris Gladis from Fukuoka, Japan, CC BY 2.0",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Great_Hanshin-Awaji_Earthquake_Memorial.jpg,"By Corpse Reviver - Own work, CC BY-SA 3.0"
家项目美术馆群,家プロジェクト,Various,Various,1998,以传统民居改造为基础的社区再生型艺术项目,四国,香川县,直岛町,本村港,高松市,家项目美术馆以旧民宅改造为展场，将直岛本村地区的街巷转化为开放式艺术空间，是艺术介入地方社区的重要案例。,建筑特点依各项目而异，包括保留町屋结构、植入当代艺术装置与光影体验。,作为国际艺术节的重要组成部分，吸引全球访客。,从本村港步行即可展开参观。,展览涵盖跨媒体装置、空间介入作品与社区互动型艺术。,本村街区,步行1分钟,步行约1分钟,传统渔村与艺术共存的街区。,https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Osaka_Nakanoshima_Museum.jpg,"By Oilstreet - Own work, CC BY-SA 4.0",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Nakanoshima_Museum_of_Art_Osaka_interior.jpg,"By 663highland - Own work, CC BY-SA 4.0",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Osaka_Castle.jpg,"By 663highland - Own work, CC BY 2.5"
丰岛美术馆,豊島美術館,西泽立卫,西沢立衛,2010,以水滴造型与混凝土薄壳结构著称的当代建筑,四国,香川县,丰岛町,家浦港,高松市,丰岛美术馆由西泽立卫与艺术家内藤礼合作，以薄壳混凝土形成的水滴形建筑闻名，是自然与艺术融合的极致表达。,建筑亮点包括开放式顶孔、随风与环境变化而流动的水珠装置、以及无柱空间带来的独特感官体验。,作为直岛·丰岛艺术线路的重要据点，吸引全球建筑与艺术爱好者。,从家浦港乘接驳巴士可达。,展览以内藤礼的极简装置为核心，强调自然、生命与感知。,丰岛梯田,乘巴士约10分钟,乘巴士约10分钟,岛上著名的梯田景观，与美术馆共同构成自然美学体验。,https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Nara-National-Museum.jpg,"By Corpse Reviver - Own work, CC BY-SA 3.0",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Nara_National_Museum_New_Wing.jpg,"By Wiiii - Own work, CC BY-SA 3.0",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Todaiji_Daibutsu.jpg,"By Fg2 - Own work, Public Domain"
MIHO美术馆,ミホ ミュージアム,贝聿铭,I.M.ペイ,1997,以玻璃天篷与山体融合结构为特征的当代博物馆建筑,关西,滋贺县,甲贺市,石部站,大津,MIHO美术馆由贝聿铭设计，深嵌于山体之中，以透明玻璃与钢结构构成轻盈空间，被誉为“隐于桃源的美术馆”。,建筑亮点包括峡谷入口隧道、钢玻璃屋顶与山林间的桥梁式连廊，呈现自然与建筑交融的诗意体验。,作为收藏东方古代艺术与国际精品的博物馆，其建筑与展览相辅相成，吸引全球访客。,从石部站乘接驳巴士可达。,展览涵盖中国、埃及、中亚等古代文明艺术。,信乐陶艺之森,乘巴士约25分钟,乘巴士约25分钟,以陶艺体验与户外艺术为特色的文化设施。,https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Towada-Art-Center.jpg,"By 663highland - Own work, CC BY-SA 3.0",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Towada_Art_Center_Interior.jpg,"By Wiiii - Own work, CC BY-SA 3.0",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Lake_Towada.jpg,"By Alpsdake - Own work, CC BY-SA 3.0"
兵库县立美术馆,兵庫県立美術館,安藤忠雄,安藤忠雄,2002,以海岸平台与混凝土量体构成的开放式公共美术馆建筑,关西,兵库县,神户市,岩屋站,神户市,兵库县立美术馆为安藤忠雄“海之美术馆三部作”核心建筑，以面向大海的露台与混凝土几何体块构成壮阔的海岸景观。,建筑亮点包括海景露台、螺旋楼梯、巨型柱廊与与海浪互动的开放前庭。,作为关西地区的重要美术展馆，举办国内外大型展览。,从岩屋站步行可达，沿途与海岸视野相伴。,展览涵盖现代美术、设计与大型专题展。,HAT神户滨海公园,步行1分钟,步行约1分钟,面向大阪湾的开放公园，景观优美。,https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Aomori-Museum-of-Art.jpg,"By Rs1421 - Own work, CC BY-SA 3.0",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Aomori_Museum_of_Art_trench.jpg,"By Wiiii - Own work, CC BY-SA 3.0",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Sannai-Maruyama_site.jpg,"By 663highland - Own work, CC BY-SA 3.0"
京都国立博物馆（明治古都馆）,京都国立博物館 明治古都館,片山东熊,片山東熊,1895,以红砖立面与文艺复兴风格构成的明治时期近代建筑,关西,京都府,京都市,七条站,京都,京都国立博物馆明治古都馆保留19世纪末的典雅红砖外观与西洋文艺复兴风格，是日本近代博物馆建筑的代表。,建筑亮点包括对称式立面、圆拱窗、装饰柱式与古典屋顶构成的厚重风格。,作为日本三大国立博物馆之一，馆藏涵盖佛教雕刻、考古、陶瓷与绘画等领域。,从京阪七条站步行即可到达。,展览以日本古代文化为核心，举办大型主题展。,三十三间堂,步行3分钟,步行约3分钟,著名佛教殿堂，以1001尊千手观音像闻名。,https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Fukuoka_Art_Museum_pumpkin.jpg,"By ???? - Own work, CC BY-SA 4.0",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Fukuoka_Art_Museum_steps.jpg,"By ???? - Own work, CC BY-SA 4.0",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Ohori_Park_fukuoka.jpg,"By STA3816 - Own work, CC BY-SA 3.0"
奈良国立博物馆,奈良国立博物館,片山东熊,片山東熊,1894,以西洋文艺复兴样式建造的明治近代博物馆建筑,关西,奈良县,奈良市,近铁奈良站,奈良市,奈良国立博物馆以明治时期建造的西洋文艺复兴式本馆著称，结合新馆形成历时性的展示结构。,建筑亮点包括装饰柱式、对称立面与古典屋顶构成的庄重外观。,作为佛教艺术研究高度集中的机构，馆藏极为丰富。,从近铁奈良站步行约15分钟可达。,展览以佛教美术为核心，包含大量国宝与重文。,奈良公园,步行1分钟,步行约1分钟,日本著名的鹿群公园与历史文化地带。,https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Contemporary Art Museum Kumamoto.jpg,"By 663highland, CC BY 2.5",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Contemporary Art Museum Kumamoto_closeup.jpg,"By ???? - Own work, CC BY-SA 4.1",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Kumamoto_Castle.jpg,"By 663highland - Own work, CC BY 2.5"
正仓院木结构展示馆,正倉院,不适用,,8世纪（重建展示）,以木结构校仓形式为基础的历史建筑模型展示,关西,奈良县,奈良市,近铁奈良站,奈良市,展示正仓院建筑结构与校仓式木构技法的文化设施，以高床结构与独特仓储系统为亮点。,建筑亮点包括校仓三角材堆叠式墙体结构、高床式基础与传统木构节点展示。,作为理解日本古代建筑与文物保存技术的重要设施。,从近铁奈良站步行可达。,展览以建筑模型、文物储藏技术与校仓形式研究为主。,奈良公园,步行3分钟,步行约3分钟,包含东大寺与春日大社等历史地标。,https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Fukuoka_Asian_Art_Museum_ex.jpg,"By ???? - Own work, CC BY-SA 4.0",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Fukuoka_Asian_Art_Museum_ex_narrow.jpg,"By ???? - Own work, CC BY-SA 4.2",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Kawabata_Shopping_Arcade_fukuoka.jpg,"By Hirho - Own work, CC BY-SA 4.0"
北九州市立美术馆,北九州市立美術館,前川国男,前川國男,1974,以山顶平台式布局构成的现代主义美术馆建筑,九州,福冈县,北九州市,八幡站,北九州市,北九州市立美术馆坐落于山丘上，以平台型布局与混凝土体块构成壮观城市景观，是前川国男的代表性地方美术馆建筑。,建筑亮点包括高位眺望平台、雕塑露台与分离体量的展厅结构。,作为北九州地区的重要文化设施，展览横跨现代美术与地域艺术。,从八幡站乘巴士可达。,展览涵盖日本现代美术、地区艺术收藏与巡回展。,东田第一高炉遗址,乘巴士约10分钟,乘巴士约10分钟,北九州工业遗产中的象征性景点。,https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Fukuoka_Prefectural_Museum_of_Art.jpg,"By ???? - Own work, CC BY-SA 4.1",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Fukuoka_Prefectural_Museum_of_Art_ex_distant.jpg,"By ???? - Own work, CC BY-SA 4.3",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/acros_fukuoka.jpg,"By Hirho - Own work, CC BY-SA 4.0"
