museum_name,museum_japanese,architect,architect_japanese,completion_year,architectural_style,region,prefecture,city,nearest_station,nearest_major_city,description,architectural_highlights,significance,accessibility_notes,primary_museum_experience_blurb,nearby_cultural_attraction_name,distance_from_main_attraction_deprecated,distance_from_main_attraction,nearby_cultural_attraction_blurb,museum_image_url,image_attribution,attraction_1_image_url,attraction_1_attribution,attraction_2_image_url,attraction_2_attribution
Kyoto National Museum,京都国立博物館,Tokuma Katayama,ç‰‡å±±æ±ç†Š,1897/2014,Meiji Western + Contemporary,Kansai,Kyoto,Kyoto,Keihan Shichijo Station,Kyoto,Historic museum with new wing by Taniguchi Yoshio,French Renaissance revival original building modern glass addition,East-West architectural dialogue historical preservation,5-minute walk from Keihan Shichijo Station,"Rotating displays from the 14,000-object collection showcase Kyoto's artistic heritage through Buddhist sculptures, court paintings, tea ceremony implements, and special exhibitions of national treasures from local temples.",Sanjusangendo Temple,20-min by train,20-min by train from main museum attraction,"The longest wooden building in Japan houses 1,001 golden statues of the thousand-armed Kannon goddess, creating an overwhelming spectacle of Buddhist artistry that has awed visitors for eight centuries.",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Kyoto_National_Museum.jpg,"By Wiiii - Own work, CC BY-SA 3.0",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Kyoto_National_Museum_The_Thinker.jpg,"By Chainwit. - Own work, CC BY 4.0",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/KYOTO_TEMPLE_SANJUSANGEN-DO_TEMPLE_OF_1000_BOUDDHA.jpg,"By Eric Salard - KYOTO TEMPLE SANJUSANGEN-DO TEMPLE OF 1000 BOUDDHA, CC BY-SA 2.0"
Miho Museum,MIHO MUSEUM,I.M. Pei,I.M.ペイ,1997,Modernist Integration,Kansai,Shiga,Shigaraki,Ishiyama Station,Kyoto,Mountain museum connected by tunnel with spectacular setting,Glass and limestone construction mountain integration underground approach,I.M. Pei architectural mastery landscape harmony,Shuttle bus from Ishiyama Station (50 minutes),"Ancient civilizations come alive through displays of Egyptian, Roman, and Asian antiquities in I.M. Pei's mountain sanctuary, with Japanese art exhibitions highlighting tea ceremony aesthetics and Buddhist sculpture.",Shigaraki Ceramic Cultural Park,20-min by bus,20-min by bus from main museum attraction,"This historic ceramic production center has crafted Japan's signature earthy pottery for over 1,000 years, with galleries and workshops where visitors can watch artisans and try their hand at the wheel.",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Miho_Museum.jpg,"By é›·å¤ª , CC BY 2.0",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/MIHO_MUSEUM_01.jpg,"By Motokoka - Own work, CC BY-SA 4.0",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Shigaraki_Pottery_Museum_Shigaraki_Koka_Shiga_pref.jpg,"By 663highland - Own work, CC BY-SA 4.0"
Naoshima Pavilion,直島パヴィリオン,Sou Fujimoto,è—¤æœ¬å£®ä»‹,2019,Contemporary Pavilion,Chugoku,Kagawa,Naoshima,Miyanoura Port,Takamatsu,Geometric pavilion structure serving as island gateway and community space,White geometric framework transparent structure community gathering space,Contemporary Japanese architecture community integration,Ferry from Takamatsu Port or Uno Port,"Sou Fujimoto's ethereal white pavilion serves as a gathering space and gateway to the island's art sites, hosting temporary installations and providing a striking contemporary landmark at the ferry terminal.",Miyanoura Port Art Installations,5-min walk,5-min walk from main museum attraction,"Yayoi Kusama's red pumpkin sculpture and other contemporary installations transform the ferry terminal area into an outdoor gallery, setting the artistic tone for the entire island experience.",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Naoshima_Pavilion.jpg,"By Bea Phi - Own work, CC BY-SA 4.0",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Naoshima_Pavilion.jpg,"By Bea Phi - Own work, CC BY-SA 4.0",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Miyanoura Port Area Art Installations.jpg,"By kajikawa, CC BY 3.0"
Chichu Art Museum,地中美術館,Tadao Ando,安藤忠雄,2004,Brutalist Underground,Chugoku,Kagawa,Naoshima,Miyanoura Port,Takamatsu,Underground museum embedded in hillside housing permanent installations by Monet Walter De Maria and James Turrell,Cast-in-place concrete geometric volumes natural light choreography triangular and circular openings,Meditation on light architecture and nature UNESCO recognition,Ferry from Takamatsu Port or Uno Port then bus,"Three permanent installations by Claude Monet, James Turrell, and Walter De Maria are showcased in underground galleries illuminated entirely by natural light that transforms the viewing experience throughout the day.",Art House Project,10-min walk,10-min walk from main museum attraction,"A collection of abandoned village houses transformed by contemporary artists into site-specific installations, offering an intimate exploration of art integrated into everyday Japanese life.",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/chichu-art-museum.jpg,"By 663highland - Own work, CC BY 2.5",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/chichu-art-museum.jpg,"By 663highland - Own work, CC BY 2.5",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Art_house_project_in_Naoshima_Haisya.jpg,"By æ¾å²¡æ˜ŽèŠ³ - æ¾å²¡æ˜ŽèŠ³, CC0"
Benesse House Museum,ベネッセハウス ミュージアム,Tadao Ando,安藤忠雄,1992,Modernist Concrete,Chugoku,Kagawa,Naoshima,Miyanoura Port,Takamatsu,Integrated museum and hotel complex overlooking Seto Inland Sea,Large concrete openings blur interior-exterior boundaries hotel integration with art,Pioneering art site concept coexistence of nature art and architecture,Ferry from Takamatsu Port or Uno Port then bus,"Site-specific works by contemporary artists including Hiroshi Sugimoto, David Hockney, and Richard Long are permanently integrated into the architecture, with outdoor sculptures scattered along the coastline and forest paths.",Kusama's Yellow Pumpkin,15-min walk,15-min walk from main museum attraction,The iconic polka-dotted yellow pumpkin sculpture perched on a seaside jetty has become Naoshima's most photographed landmark and symbol of the island's artistic renaissance.,https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/benesse-house-museum.jpg,"By 663highland, CC BY 2.5",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Precision_benesse_art_house.jpg,"By Rob Oo from NL - Precision, CC BY 2.0",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/kirill-q36y-w_RjG4-unsplash.jpg,Photo by Kirill on Unsplash
Lee Ufan Museum,李禹煥美術館,Tadao Ando,安藤忠雄,2010,Minimalist Concrete,Chugoku,Kagawa,Naoshima,Miyanoura Port,Takamatsu,Minimalist museum dedicated to leading Mono-ha movement artist,Semi-underground structure precise geometric forms natural light effects,Collaboration between architect and contemporary artist,Ferry from Takamatsu Port or Uno Port then bus,"The minimalist paintings and stone sculptures by Korean artist Lee Ufan engage in quiet dialogue with Tadao Ando's concrete architecture, creating meditative spaces for contemplation.","Naoshima Bath ""Iâ™¥æ¹¯""",10-min walk,10-min walk from main museum attraction,"A functioning public bathhouse transformed into an immersive art installation by Shinro Ohtake, where visitors can soak in therapeutic waters surrounded by colorful mosaics and found-object collages.",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/lee-ufan.jpg,By KimonBerlin - CC BY-SA 2.0,https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/lee-ufan.jpg,"By KimonBerlin, CC BY-SA 2.0",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Naoshima_Bath.jpg,"By æ¾å²¡æ˜ŽèŠ³ - Own work, CC BY-SA 3.0"
Teshima Art Museum,豊島美術館,Ryue Nishizawa,西沢立衛,2010,Organic Concrete Shell,Chugoku,Kagawa,Teshima,Ieura Port,Takamatsu,"Minimalist concrete shell museum on hillside housing single artwork by Rei Naito in collaboration with architect, creating meditative space where water droplets mysteriously form and flow",Shell structure without columns natural light through ceiling openings organic form integrated with landscape seamless concrete surface,Collaboration between architect and artist nature-architecture-art synthesis meditative experience,Ferry from Takamatsu Port or Uno Port then bus to museum,"This otherworldly concrete shell designed by Ryue Nishizawa sits on a hillside overlooking the Seto Inland Sea, housing a single artwork where water droplets mysteriously gather and flow across the floor in a meditative space that dissolves boundaries between art, architecture, and nature.",Setouchi Triennale Art Sites,Ferry access,Ferry access from main museum attraction,"Site-specific installations and outdoor sculptures scattered across twelve islands transform abandoned schools, warehouses, and beaches into contemporary art destinations, with permanent works by international artists creating an art pilgrimage across the Seto Inland Sea.",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Teshima_Museum_Ryue_Nishizawa.jpg,"By Epiq - Own work, CC BY-SA 3.0",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Teshima_Art_Museum_distant_view.jpg,"By KimonBerlin, CC BY-SA 2.0",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Setouchi_Triennale_-Teshima_Yokoo_House.jpg,"By Iry - Own work, CC BY-SA 3.0"
Kyushu National Museum,九州国立博物館,Kiyonori Kikutake,菊竹清訓,2005,Contemporary Glass and Steel,Kyushu,Fukuoka,Dazaifu,Dazaifu Station,Fukuoka,"Japan's fourth national museum, the first opened in over a century, focusing on Japanese cultural formation through Asian historical perspectives",Double-layer indigo glass facade curved blue roof reflecting surrounding nature integration with hillside,First new national museum in 100+ years major conservation center for western Japan,10-minute walk from Dazaifu Station or 5-minute walk from Dazaifu Tenmangu Shrine via connecting path,"The Cultural Exchange Exhibition on the fourth floor spans Japanese prehistory through the Meiji period, showcasing how Asian cultural exchange shaped Japan's development, with special emphasis on Dazaifu's role as the gateway between Japan and Asia from the 8th to 12th centuries when the Silk Road flourished.",Dazaifu Tenmangu Shrine,5 mins walk from main museum attraction,6 mins walk from main museum attraction,"One of Japan's most important Tenmangu shrines, dedicated to scholar-deity Sugawara no Michizane, featuring 6,000 plum trees that bloom spectacularly in late winter, heart-shaped koi pond, ancient camphor trees, and the legendary tobiume (flying plum tree) that allegedly flew from Kyoto to accompany Michizane in exile.",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Kyushu_National_Museum_exterior.jpg,By Hajime NAKANO CC BY 2.0,https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Kyushu_National_Museum_interior.jpg,"By Travis, CC BY 2.0",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Dazaifu_Tenmangu-Courtyard_entrance.jpg,"By Immanuelle - Own work, CC BY 4.0"
Nagasaki Prefectural Art Museum,長崎県美術館,Kengo Kuma,隈研吾,2005,Contemporary with Stone Louvers,Kyushu,Nagasaki,Nagasaki,Medical Center or Dejima tram stop,Nagasaki,"Museum showcasing Spanish and Nagasaki art in striking waterfront architecture, featuring Asia's largest Spanish art collection","Stone louvers inspired by traditional Nagasaki colonial verandas, glass bridge crossing canal, green roof garden, natural ventilation through breezy corridor spaces, integration of water and architecture","Contemporary interpretation of Nagasaki's architectural heritage, largest collection of Spanish art in Asia from the Suma Collection, winner of multiple architectural and lighting design awards",Direct access from tram stops; elevator and wheelchair access throughout; roof garden with panoramic harbor views; cafÃ© with waterfront seating,"The Suma Collection features Spanish art ranging from medieval to contemporary periods with legendary artists including Picasso and DalÃ­, while the Nagasaki Collection showcases local artists and works relating to the city's unique history as Japan's window to the West during centuries of isolation, with rotating exhibitions exploring international cultural exchange",Nagasaki Seaside Park,Immediately adjacent,Immediately adjacent,"A waterfront park spanning 65,000 square meters with Earth Plaza's pleasant lawns facing Nagasaki Port, Water Garden featuring fountains and streams, Waterfront Promenade with canal running through, offering views of Mitsubishi Shipyard's World Heritage cantilever crane across the harbor",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Nagasaki_Prefectural_Art_Museum.jpg,"By Kenta Mabuchi, CC BY-SA 2.0",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Nagasaki_Prefectural_Art_Museum_distant_view.jpg,"By Kenta Mabuchi, CC BY-SA 2.0",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Aqua_Garden_Nagasaki.jpg,"By Masoud Akbari, CC BY-SA 3.0"
Kitakyushu Municipal Museum of Art,北九州市立美術館,Arata Isozaki,磯崎新,1974,Japanese Brutalism,Kyushu,Fukuoka,Kitakyushu,Kokura Station,Kitakyushu,"Brutalist museum perched on hillside featuring dual geometric tubes, housing modern art collection with panoramic city and sea views","Two distinctive geometric tubes composed of 9.6-meter square modules cantilevered from hillside, perfectly symmetrical entrance hall, post-modern interior spaces with columns arranged around central pond, panoramic city and sea views from elevated location","One of Isozaki's early masterpieces celebrating 50th anniversary in 2024, pioneering public art museum in western Japan, represents the architect's exploration of brutalist and post-modern aesthetics before international fame","Bus service from Kokura Station (30 minutes); cafÃ© with city views; signage in Japanese, English, Chinese, Korean; parking available","The permanent collection exceeds 8,000 pieces focusing on modern and contemporary art from Japan and abroad including Impressionist works by Renoir, Degas and Monet, ukiyo-e woodblock prints by masters like Hokusai, and sculptures displayed both in galleries with 4.5-meter ceilings and throughout the surrounding Art Forest Park where 24 outdoor sculptures are integrated into lush landscape",Kawachi Wisteria Garden,40-min by car,40-min by car,"A private hilltop garden famous worldwide for two 100-meter-long tunnels of cascading wisteria in purple, white and pink shades forming spectacular floral walkways during spring blooming season, along with enormous wisteria dome and viewpoint overlooking the flower sea and surrounding bamboo valley",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Kitakyushu_Municipal_Museum_of_Art_exterior.jpg,"By STA3816 - Own work, CC BY-SA 4.0",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Kitakyushu_Municipal_Museum_of_Art_interior.jpg,"By è»é‡Žç›®ã•ã‚“ - photozou, CC BY 2.0",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Purple_wisteria_in_Kawachi_Wisteria_Garden.jpg,"By ãã‚‰ã¿ã¿ - Own work, CC BY-SA 4.0"
Oita Art Plaza,大分アートプラザ,Arata Isozaki,磯崎新,1966,Japanese Brutalism,Kyushu,Oita,Oita,Oita Station,Oita,"Isozaki's breakthrough project converting former library into gallery space, showcasing bold brutalist skeleton structure with suspended beams","Reinforced concrete construction with skeleton-inspired structure, suspended tubular beams allowing flexible interior spaces, bold geometric forms characteristic of Metabolist influences, powerful cantilevered elements","Arata Isozaki's breakthrough project that established his reputation, Important example of 1960s Japanese Brutalism, conversion demonstrates adaptive reuse of modernist architecture",Walking distance from Oita Station in city center; building architecture itself is primary attraction for design enthusiasts,"Gallery spaces converted from original library layout showcase rotating contemporary art exhibitions while preserving dramatic brutalist architectural character with bold concrete forms and geometric rigor creating powerful backdrop for artistic expression, drawing visitors interested in both postwar Japanese architecture and contemporary art in Isozaki's hometown where his architectural journey began",Usa Jingu Shrine,50-min by car,50-min by car,"Japan's head shrine of over 40,000 Hachiman shrines dedicated to the god of war and archery, featuring National Treasure main halls in distinctive Hachiman architectural style, expansive forested grounds with vermillion torii gates, sacred lotus pond where Emperor Ojin legendarily descended, and unique two-bow-four-clap-one-bow prayer ritual",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Artplaza-oita-city.jpg,"By MK Products - Own work, CC BY-SA 3.1",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Oita-shi_Art_Plaza_closeup.jpg,"By Yasushi HASHIGUCHI, CC BY-SA 3.0",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Usa_Jingu_fukuoka.jpg,"By Immanuelle - Own work, CC BY 4.0"
Fukuoka Art Museum,福岡市美術館,Kunio Maekawa,前川國男,1979,Modernist,Kyushu,Fukuoka,Fukuoka,Ohori Park Station,Fukuoka,"Modernist museum with distinctive reddish-brown Tokoname tile exterior, designed by Kunio Maekawa overlooking Ohori Park pond","Reddish-brown porcelain tile exterior from Tokoname kilns that grows more brilliant with age, unique gallery layout centered on spacious lobby and Esplanade plaza, gradually sloping approach to second-floor entrance, natural light flooding through large windows overlooking Ohori Park pond","Designed by Kunio Maekawa who created public art museums throughout Japan in the late 1960s, represents Japanese modernism's mature period, PFI renovation project preserved architectural essence while updating facilities","5-minute walk from Ohori Park Station; museum positioned peacefully facing pond in Ohori Park; renovated spaces include accessible galleries, modern cafÃ© with water views, museum shop","The permanent collection features Asian art with emphasis on Buddhist sculpture and tea ceremony objects, modern Western art including DalÃ­, MirÃ³ and Warhol, and modern Japanese art from Meiji period forward with special exhibitions in renovated galleries that maintain Maekawa's vision of spacious contemplative viewing enhanced by natural light and views of surrounding park landscape distancing visitors from ordinary life before entering galleries",Ohori Park Japanese Garden,2-min walk,2-min walk,"A traditional Japanese stroll garden designed by renowned landscape architect Nakane Kinsaku featuring winding paths around sculptural pond with waterfalls, dry rock garden, authentic tea houses in multiple styles, and seasonal plantings including 40 varieties spanning Japanese black pine and azaleas across 12,000 square meters adjacent to the museum",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Fukuoka_Art_Museum_pumpkin.jpg,"By ãã‚‰ã¿ã¿ - Own work, CC BY-SA 4.0",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Fukuoka_Art_Museum_steps.jpg,"By ãã‚‰ã¿ã¿ - Own work, CC BY-SA 4.0",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Ohori_Park_fukuoka.jpg,"By STA3816 - Own work, CC BY-SA 3.0"
Contemporary Art Museum Kumamoto,熊本市現代美術館,Azusa Sekkei,æ¢“è¨­è¨ˆ,2002,Urban Contemporary,Kyushu,Kumamoto,Kumamoto,Torichosuji tram stop,Kumamoto,"Urban museum on third floor of mixed-use building in downtown shopping arcade, breaking traditional museum barriers with integrated site-specific artworks","Site-specific artworks integrated into architecture including Kusama's mirrored infinity space, Miyajima's LED light columns representing heartbeat, Turrell's light windows, AbramoviÄ‡'s communication space, main gallery with polished wooden floors and 4.5-meter ceilings with movable walls","Pioneering model of accessible urban museum breaking barriers between art and daily life, located in active shopping district rather than isolated cultural precinct, universal design with tactile paving, braille signage, wheelchair accessibility",1-minute walk from Torichosuji tram stop in Kamitori shopping arcade; third floor location above shops; free admission to Home Gallery Kids Factory and integrated artworks; elevator and stroller access; nursing room available,"The main gallery hosts approximately five special exhibitions annually ranging from Ghibli Studio animation drawings to contemporary photography and established artists' collections while the Home Gallery functions as an art library where visitors can browse books and manga surrounded by specially designed furniture including Fujie Kazuko's ribbon-like purple benches, with evening piano recitals creating an atmosphere where art community information and people intersect in downtown Kumamoto's urban fabric",Kumamoto Castle,10-min walk,10-min walk,"One of Japan's three premier castles featuring imposing stone walls with distinctive inward curves designed to prevent climbing, massive wooden towers reconstructed after 1877 Satsuma Rebellion, ornate Honmaru Palace with gold-leaf decorated Shokonnoma room, and currently undergoing extensive 20-year restoration from 2016 earthquake damage with special elevated walkway allowing visitors to view reconstruction efforts and castle grounds",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Contemporary Art Museum Kumamoto.jpg,"By 663highland, CC BY 2.5",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Contemporary Art Museum Kumamoto_closeup.jpg,"By ãã‚‰ã¿ã¿ - Own work, CC BY-SA 4.1",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Kumamoto_Castle.jpg,"By 663highland - Own work, CC BY 2.5"
Fukuoka Asian Art Museum,福岡アジア美術館,Hakata Riverain Complex Architects,,1999,Urban Contemporary,Kyushu,Fukuoka,Fukuoka,Nakasu-Kawabata Station,Fukuoka,"World's only museum systematically collecting modern and contemporary Asian art, occupying 7th and 8th floors of Hakata Riverain building","Bright modular exhibition halls on two floors with flexible gallery spaces, large windows flooding natural light, entrance featuring 4-meter-high Bu Hua collaborative mural, Southeast Asian-designed furniture throughout, children's restroom with Bangladeshi artist paintings","Only museum in world dedicated exclusively to systematically collecting and exhibiting modern and contemporary art from 23 Asian countries, pioneering artist residency program fostering international dialogue",Directly connected to Nakasu-Kawabata Station Exit 6; escalators and elevators to 7th floor; open until 8:00 PM on Fridays and Saturdays; free baggage lockers; signage in multiple languages,"The collection exceeds 5,000 works from 23 Asian countries spanning South, Southeast and East Asia with rotating Asia Gallery displays featuring contemporary video art, social commentary pieces and traditional art reinterpreted through modern lens, complemented by artist residency program, 10,000-book art cafÃ©, and Friday evening music events in this pioneering pan-Asian art institution that inherited activities from Fukuoka City Museum of Art",Kawabata Shopping Arcade,2-min walk,2-min walk,"Historic 400-meter covered shopping street over 130 years old with more than 130 shops selling traditional Hakata ningyo dolls, Yamakasa festival goods, Genkai Sea specialties, popular ramen restaurants, and famous Kawabata sweet red bean soup served at event plaza on weekends connecting old merchant Hakata culture to modern Canal City entertainment complex",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Fukuoka_Asian_Art_Museum_ex.jpg,"By ãã‚‰ã¿ã¿ - Own work, CC BY-SA 4.0",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Fukuoka_Asian_Art_Museum_ex_narrow.jpg,"By ãã‚‰ã¿ã¿ - Own work, CC BY-SA 4.2",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Kawabata_Shopping_Arcade_fukuoka.jpg,"By Hirho - Own work, CC BY-SA 4.0"
Fukuoka Prefectural Art Museum,福岡県立美術館,Sato Takeo,ä½è—¤æ­¦å¤«,1985,Modernist,Kyushu,Fukuoka,Fukuoka,Tenjin Station,Fukuoka,"Prefecture's cultural icon in Tenjin's Suzaki Park focusing on Fukuoka artists, opened 1985 after renovating 1964 Culture Center","Designed as cultural icon with modernist aesthetic, features spacious exhibition galleries, fourth-floor art library with natural lighting and open stacks, flexible exhibition spaces for rotating shows and public displays","Originally opened 1964 as Fukuoka Prefectural Culture Center combining museum and library, famously hosted 1965 Tutankhamen Exhibition drawing 590,000 visitors, renovated and reopened 1985 focusing exclusively on art museum functions","10-minute walk from Tenjin Station in downtown Fukuoka; located in Suzaki Park; adjacent to Fukuoka Prefectural Library; fourth-floor art library with 40,000 volumes; free exhibition room rental available for prefecture residents","Collection encompasses approximately 10,000 works spanning Edo-period to contemporary art with focus on modern Japanese Western-style painters with Fukuoka ties including Sakamoto Hanjiro, Takashima Yajuro, Kojima Zenzaburo, Nakamura Ken'ichi, and Koga Harue, alongside annual Fukuoka Prefecture Art Festival public exhibition and methodically researched rotating displays introducing diverse artistic representation from Japan and abroad",Acros Fukuoka,8-min walk,8-min walk,"Pioneering green architecture landmark featuring dramatic 60-meter stepped garden ascending south facade like forested mountain with 120 plant species across 14 terraced levels, housing international convention hall, symphony hall, and cultural information center while giving parkland back to Fukuoka citizens through Emilio Ambasz's visionary 1995 design connecting Tenjin Central Park to building rooftop in reconciliation between urban development and nature",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Fukuoka_Prefectural_Museum_of_Art.jpg,"By ãã‚‰ã¿ã¿ - Own work, CC BY-SA 4.1",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Fukuoka_Prefectural_Museum_of_Art_ex_distant.jpg,"By ãã‚‰ã¿ã¿ - Own work, CC BY-SA 4.3",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/acros_fukuoka.jpg,"By Hirho - Own work, CC BY-SA 4.0"
